000,5233,1
汽车汽车汽车汽车,4515,2
是,3585,3
我,3064,4
不,1791,5
你,1658,6
都,1653,7
有,1532,8
？,1422,9
！,1237,10
和,1196,11
发动机,1186,12
在,1181,13
机油,1165,14
油耗,1142,15
价格,997,16
车,959,17
可以,951,18
好,936,19
没,912,20
动力,844,21
就是,807,22
2.0,807,23
2.5,788,24
没有,750,25
还,739,26
这个,736,27
还是,734,28
要,694,29
说,693,30
换,676,31
用,667,32
买,666,33
很,666,34
上,637,35
比,630,36
问题,617,37
这,616,38
看,589,39
大,584,40
多,577,41
会,568,42
开,555,43
感觉,548,44
到,496,45
不是,490,46
烧,490,47
高,469,48
去,469,49
过,468,50
现在,468,51
跑,456,52
如果,450,53
什么,445,54
吗,443,55
导航,440,56
刹车,439,57
一个,437,58
高速,430,59
内饰,421,60
一样,414,61
公里,407,62
优惠,392,63
但是,387,64
能,385,65
配置,380,66
个,371,67
觉得,368,68
应该,365,69
空间,360,70
但,357,71
变速箱,356,72
自己,348,73
那,346,74
保养,339,75
操控,338,76
后,334,77
知道,332,78
再,322,79
比较,321,80
的话,317,81
不错,313,82
底盘,306,83
万,306,84
空调,306,85
对,305,86
一下,299,87
不过,296,88
才,287,89
下,285,90
时候,284,91
给,282,92
 ,281,93
左右,276,94
年,268,95
还有,268,96
油,266,97
外观,266,98
正常,262,99
更,260,100
低,258,101
跟,258,102
喜欢,251,103
不会,248,104
可能,248,105
等,247,106
加速,245,107
把,244,108
很多,244,109
人,243,110
一点,239,111
建议,239,112
声音,239,113
肯定,236,114
小,235,115
所以,232,116
楼主,227,117
一般,224,118
又,223,119
其他,219,120
加,219,121
有点,218,122
多少,218,123
想,216,124
啥,214,125
市区,210,126
这样,207,127
确实,205,128
时,205,129
噪音,201,130
性能,201,131
而且,200,132
看看,199,133
主要,196,134
差不多,191,135
做,190,136
万公里,187,137
点,186,138
轮胎,185,139
怎么,182,140
方向盘,181,141
太,179,142
已经,176,143
差,175,144
考虑,174,145
不要,174,146
T,173,147
这么,172,148
原厂,171,149
估计,170,150
其实,169,151
新款,169,152
因为,168,153
情况,168,154
全时,168,155
水平,167,156
基本,165,157
踩,165,158
最,165,159
后排,165,160
那个,164,161
座椅,161,162
一直,158,163
直接,155,164
驾驶,154,165
异响,152,166
新,151,167
需要,150,168
那么,150,169
一些,149,170
越野,149,171
便宜,147,172
让,147,173
一,144,174
不能,144,175
贵,144,176
或者,143,177
里,143,178
前,142,179
个人,142,180
安全,142,181
4S,141,182
目前,141,183
是不是,141,184
出来,141,185
除了,140,186
不好,140,187
快,139,188
真的,139,189
选择,138,190
月,137,191
明显,137,192
不用,136,193
省油,136,194
只是,136,195
不如,135,196
他,134,197
影响,133,198
车子,133,199
起来,133,200
从,132,201
后备箱,129,202
平均,128,203
豪华,127,204
刹车片,127,205
只有,126,206
之前,126,207
选,126,208
一次,125,209
挺,124,210
发现,122,211
转速,122,212
这种,121,213
性价比,120,214
以上,120,215
来,119,216
版,117,217
不到,117,218
东西,117,219
着,117,220
么,116,221
车型,115,222
最好,115,223
好像,115,224
它,113,225
油门,113,226
新车,113,227
钱,112,228
路况,112,229
一定,112,230
出,112,231
以后,111,232
对置,111,233
地方,110,234
真,110,235
两个,110,236
启动,110,237
检查,110,238
使用,109,239
以前,109,240
更换,109,241
与,109,242
中,109,243
4S店,109,244
然后,108,245
升,106,246
开始,105,247
进口,105,248
区别,105,249
显示,104,250
国产,104,251
纠结,104,252
非常,103,253
排量,103,254
店,103,255
隔音,103,256
或,102,257
车身,102,258
4s,101,259
速度,101,260
被,101,261
试驾,100,262
车主,100,263
行驶,100,264
只要,100,265
效果,99,266
当然,99,267
找,99,268
品牌,98,269
走,97,270
不少,97,271
问,96,272
这车,95,273
时间,95,274
特别,95,275
不行,94,276
经常,94,277
装,93,278
另外,93,279
档,93,280
朋友,92,281
时尚,91,282
原因,91,283
时速,91,284
舒服,91,285
增加,91,286
配件,90,287
温度,90,288
这些,90,289
习惯,89,290
满意,89,291
手动,89,292
不了,89,293
更好,89,294
质量,87,295
舒适性,87,296
只,86,297
原车,86,298
元,86,299
不烧,86,300
谢谢,85,301
适合,85,302
自动,85,303
要是,85,304
少,84,305
手机,84,306
中控,84,307
带,84,308
出现,84,309
强,84,310
里面,84,311
只能,83,312
毛病,83,313
日本,83,314
综合,82,315
不同,82,316
方面,82,317
好看,82,318
不够,81,319
提车,81,320
要求,81,321
消耗,81,322
老款,81,323
感受,81,324
完全,80,325
尊贵,80,326
我们,80,327
毕竟,80,328
几个,79,329
响,79,330
长途,79,331
请,79,332
论坛,78,333
按,78,334
反正,78,335
?,78,336
国内,77,337
L,75,338
卖,74,339
内,74,340
他们,74,341
够用,74,342
必须,74,343
像,74,344
无,73,345
轮毂,73,346
很大,73,347
清洗,73,348
买车,72,349
别的,72,350
汽油,72,351
容易,72,352
没什么,71,353
行,71,354
t,71,355
哪,71,356
全,71,357
系统,70,358
送,70,359
原来,70,360
担心,70,361
改,70,362
设计,70,363
提升,70,364
必要,69,365
准备,69,366
安全性,69,367
通过,69,368
后来,69,369
怕,69,370
维修,69,371
听,68,372
虽然,68,373
起步,68,374
提,67,375
哪里,67,376
看到,67,377
胎,67,378
试试,67,379
～,67,380
儿子,67,381
四,67,382
够,66,383
有没有,66,384
推荐,66,385
老,66,386
转,66,387
机滤,66,388
关系,66,389
庞大,65,390
厉害,65,391
舒适,65,392
合适,65,393
平时,65,394
本来,64,395
大家,64,396
长,64,397
刚,64,398
功能,64,399
还要,64,400
绝对,64,401
当时,64,402
拿,64,403
最近,63,404
超车,63,405
之后,63,406
如何,63,407
同样,63,408
最后,63,409
位置,63,410
谁,62,411
下来,62,412
今天,62,413
有些,62,414
4s店,61,415
刹车盘,61,416
懂,61,417
实在,61,418
平台,61,419
感,61,420
真心,60,421
啦,60,422
变化,60,423
开车,60,424
汽车,60,425
打,60,426
能力,60,427
上面,59,428
实际,59,429
为了,59,430
接受,59,431
急,59,432
*,59,433
cvt,58,434
大概,58,435
视野,58,436
解决,58,437
路,58,438
用车,57,439
级别,57,440
严重,57,441
控制,57,442
漏油,57,443
坐,57,444
轿车,57,445
搞,56,446
加油,56,447
中国,56,448
提速,56,449
根本,56,450
是否,56,451
些,56,452
为,56,453
越,56,454
别,56,455
车辆,56,456
网上,56,457
护板,56,458
升级,55,459
了解,55,460
缺点,55,461
需求,55,462
出风口,55,463
安装,55,464
倒,55,465
轴承,55,466
入手,54,467
车况,54,468
磨损,54,469
熄火,54,470
超过,54,471
操控性,54,472
关键,54,473
车友,54,474
夏天,54,475
哦,53,476
而,53,477
来说,53,478
各种,53,479
同,53,480
您,53,481
叫,53,482
采纳,53,483
预算,53,484
这是,53,485
怎么样,53,486
算,53,487
就算,53,488
最大,52,489
原装,52,490
方便,52,491
其它,52,492
办法,52,493
现款,52,494
后面,52,495
做工,52,496
顶配,52,497
路面,52,498
每次,52,499
秒,52,500
加装,52,501
自由,52,502
后悔,51,503
任何,51,504
外面,51,505
坏,51,506
呀,51,507
希望,51,508
足够,51,509
模式,51,510
颜色,51,511
哪个,51,512
听说,50,513
请问,50,514
真是,50,515
遇到,50,516
怠速,50,517
落地,50,518
而已,50,519
